Name,Passes blood-brain barrier,SMILES
flurandrenolide(fludroxycortide),True,[C@@]45([C@@]3([C@H]([C@H]2[C@@H]([C@@]1(C(=CC(=O)CC1)[C@H](C2)F)C)[C@H](C3)O)C[C@H]4OC(O5)(C)C)C)C(CO)=O
mometasone(mometasone-furoate),True,[C@H]34[C@H]2[C@@](Cl)([C@@]1(C(=CC(=O)C=C1)CC2)C)[C@@H](O)C[C@@]3([C@](O)([C@@H](C4)C)C(=O)CCl)C
dazepinil,True,CN2C(Cc1ccccc1N=C2C)c3ccccc3
ciladopa,True,[C@@H](CN2CCN(C1=CC=CC=CC1=O)CC2)(C3=CC(=C(OC)C=C3)OC)O
desonide,True,[C@]12(OC(O[C@@H]1C[C@@H]3C2(CC(O)[C@H]4C3CCC5=CC(=O)C=CC45C)C)(C)C)C(=O)CO
pecocycline,False,CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)c4c(O)cccc4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(/O)NCN5CCCC(C5)C(O)=O)C1=O
quetiapine,True,C1=CC=CC3=C1C(=NC2=CC=CC=C2S3)N4CCN(CCOCCO)CC4
acetaminosalol,True,C2=C(C(OC1=CC=C(C=C1)NC(C)=O)=O)C(=CC=C2)O
pregabalin,True,[C@@H](CC(=O)O)(CC(C)C)CN
tigemonam,False,CC1(C)[C@H](NC(=O)C(=N\OCC(O)=O)/c2csc(N)n2)C(=O)N1O[S](O)(=O)=O
ethchlorvynol,True,CCC(O)(\C=C\Cl)C#C
thioridazine,True,CSc1ccc2Sc3ccccc3N(CCC4CCCCN4C)c2c1
paramethasone,True,[C@]12(C(=CC(C=C1)=O)[C@H](C[C@H]3[C@H]4[C@](C[C@@H]([C@H]23)O)([C@](C(=O)CO)(O)[C@@H](C4)C)C)F)C
fludrocortisone,True,[C@H]23[C@@]([C@@]1(C(=CC(=O)CC1)CC2)C)([C@H](C[C@]4([C@H]3CC[C@@]4(C(CO)=O)O)C)O)F
2-propanol,True,CC(C)O
choline,True,C[N+](C)(C)CCO
fipexide,True,C1=C4C(=CC(=C1)CN3CCN(C(COC2=CC=C(Cl)C=C2)=O)CC3)OCO4
thialbarbital,True,C(C2(C1CCCC=C1)C(NC(=S)NC2=O)=O)C=C
dacemazine,True,C1=CC=CC3=C1N(C2=C(C=CC=C2)S3)C(CN(C)C)=O
hydroxyamphetamine,False,CC(Cc1ccccc1)NO
lufuradom,True,C1=CC(=CC2=C1C(=NCC(N2C)CNC(C3=COC=C3)=O)C4=CC=CC=C4)F
fluoxetine,True,C2=C(C(OC1=CC=C(C=C1)C(F)(F)F)CCNC)C=CC=C2
11a,False,CN(C)c1cc(C2=NC(N)=NN2)ccn1
alphaprodine(betaprodine),True,C2=C(C1(C(CN(C)CC1)C)OC(CC)=O)C=CC=C2
aceprometazine,True,C1=CC2=C(C=C1)SC3=C(N2CC(C)N(C)C)C=C(C=C3)C(=O)C
Ritonavir,False,CC(C)[C@H](NC(=O)N(C)Cc1csc(n1)C(C)C)C(=O)N[C@H](C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc3scnc3)Cc4ccccc4
dihydromorphine,True,CN1CCC23C4CCC(O)C2Oc5c(O)ccc(CC14)c35
binospirone,True,O=C2CC1(CCCC1)CC(=O)N2CCNCC4COc3ccccc3O4
hydroxypethidine,True,C2=C(C1(C(OCC)=O)CCN(C)CC1)C=CC=C2O
antipyrine,True,CN1N(C(=O)C=C1C)c2ccccc2
oxiracetam,True,C(N1CC(O)CC1=O)C(N)=O
ceftizoxime,False,CO/N=C(C(=O)N[C@H]1[C@H]2SCC=C(N2C1=O)C(O)=O)/c3csc(N)n3
benzaprinoxide,True,C1=CC=C(Cl)C3=C1\C(C2=CC=CC=C2C=C3)=C/CC[N+]([O-])(C)C
SB-222200,True,CCC(NC(=O)c1c(c(nc2c1cccc2)c1ccccc1)C)c1ccccc1
Omeprazole,False,COc1ccc2nc([nH]c2c1)[S](=O)Cc3ncc(C)c(OC)c3C
celiprolol,True,CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(c1)C(C)=O
amoxapine,True,C1=C(Cl)C=CC2=C1C(=NC3=C(O2)C=CC=C3)N4CCNCC4
GR89696,True,c1(ccc(c(c1)Cl)Cl)CC(N1[C@H](CN(CC1)C(=O)OC)CN1CCCC1)=O
Aminopyrine,True,CN(C)C1=C(C)N(C)N(c2ccccc2)C1=O
clocortolone,True,[C@@]24(Cl)C1(C(=CC(=O)C=C1)[C@@H](F)CC2C3C(C([C@@H](C3)C)C(=O)CO)(CC4O)C)C
Colchicine,False,COC1=CC=C2C(=CC1=O)[C@H](CCc3cc(OC)c(OC)c(OC)c23)NC(C)=O
lesopitron,True,C1=CC=NC(=N1)N3CCN(CCCC[N]2C=C(Cl)C=N2)CC3
cefivitril,False,Cn1nnnc1SCC2=C(N3[C@H](SC2)[C@H](NC(=O)CS\C=C/C#N)C3=O)C(O)=O
lirequinil,True,[C@H]5(CN(C(C3=C2C1=CC(=CC=C1CCN2C(=O)C(=C3)C4=CC=CC=C4)Cl)=O)CC5)OCC
eprobemide,True,C1=CC(=CC=C1C(NCCCN2CCOCC2)=O)Cl
dixyrazine,True,CC(CN1CCN(CCOCCO)CC1)CN2c3ccccc3Sc4ccccc24
Butanone,True,CCC(C)=O
bacmecillinam,False,CCOC(=O)OC(C)OC(=O)[C@@H]1N2[C@H](SC1(C)C)[C@H](N=CN3CCCCCC3)C2=O
fenmetramide,True,C1=CC=CC=C1C2C(NC(=O)CO2)C
cyclobarbital,True,C(C2(C1=CCCCC1)C(NC(=O)NC2=O)=O)C
Metaraminol,False,C[C@H](N)[C@H](O)c1cccc(O)c1
butaperazine,True,C1=C(C(CCC)=O)C=CC3=C1N(C2=C(C=CC=C2)S3)CCCN4CCN(C)CC4
dimiracetam,True,O=C2N1C(NC(=O)C1)CC2
azidamfenicol,True,[N+](=NCC(=O)N[C@@H]([C@H](O)C1=CC=C([N+]([O-])=O)C=C1)CO)=[N-]
mephobarbital(methylphenobarbital),True,C2=C(C1(C(N(C(NC1=O)=O)C)=O)CC)C=CC=C2
icometasone-enbutate,True,[C@@]4([C@@]3([C@H]([C@H]2[C@]([C@@]1(C(=CC(=O)C=C1)CC2)C)(Cl)[C@H](C3)O)C[C@H]4C)C)(C(COC(C)=O)=O)OC(CCC)=O
prazepam,True,Clc1ccc2N(CC3CC3)C(=O)CN=C(c4ccccc4)c2c1
dichlorisone,True,[C@@]23(Cl)C(C1C([C@](O)(CC1)C(=O)CO)(CC2Cl)C)CCC4=CC(=O)C=CC34C
spiclamine,True,[C@@H]3(C1=CC=C(Cl)C=C1)[C@H]2CC[C@@H](C2)C34CCC(=N4)N5CCOCC5
indomethacin(indometacin),True,C1=CC(=CC2=C1[N](C(=C2CC(O)=O)C)C(C3=CC=C(Cl)C=C3)=O)OC
isoflupredone-acetate,True,[C@H]23[C@@]([C@@]1(C(=CC(=O)C=C1)CC2)C)([C@H](C[C@]4([C@H]3CC[C@@]4(C(COC(C)=O)=O)O)C)O)F
Divinylether,True,C=COC=C
phenelzine sulfate,True,NNCCc1ccccc1.O[S](O)(=O)=O
prothipendyl,True,C1=CC=CC2=C1N(C3=C(S2)C=CC=N3)CCCN(C)C
doxylamine succinate,True,CN(C)CCOC(C)(c1ccccc1)c2ccccn2.OC(=O)CCC(O)=O
doxapram,True,C1=CC=CC=C1C2(C(CN(C2=O)CC)CCN3CCOCC3)C4=CC=CC=C4
corticosterone,False,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2C(=O)CO
almecillin,False,[Na+].CC1(C)SC2C(NC(=O)CSCC=C)C(=O)N2C1C([O-])=O
fenbenicillin,False,CC1(C)S[C@@H]2[C@H](NC(=O)C(Oc3ccccc3)c4ccccc4)C(=O)N2[C@H]1C(O)=O
ameltolide,True,C1=C(C(=C(C=C1)C)NC(C2=CC=C(N)C=C2)=O)C
Nicotinyl alcohol,False,OCc1cccnc1
bromisoval,True,CC(C(C(NC(N)=O)=O)Br)C
Indinavir,True,CC(C)(C)NC(=O)[C@@H]1CN(CCN1C[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@@H]3[C@H](O)Cc4ccccc34)Cc5cccnc5
nimetazepam,True,C1=C([N+]([O-])=O)C=CC2=C1C(=NCC(=O)N2C)C3=CC=CC=C3
amicycline,False,CN(C)[C@H]1[C@@H]2C[C@@H]3Cc4ccc(N)c(O)c4C(=C3C(=O)[C@]2(O)C(=O)\C(=C(N)/O)C1=O)O
femoxetine,True,C3=C(C2C(COC1=CC=C(OC)C=C1)CN(C)CC2)C=CC=C3
cp25,True,CCCCCN1C=CC(=O)C(=C1C)O
azacyclonol,True,C3=C(C(O)(C1=CC=CC=C1)C2CCNCC2)C=CC=C3
estradiol,False,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O
algestone-acetonide,True,CC14C5(C(CC1C3C(C2(C(=CC(=O)CC2)CC3)C)CC4)OC(O5)(C)C)C(C)=O
aprobarbital,True,C(C1(C(NC(=O)NC1=O)=O)C(C)C)C=C
tracazolate,True,C1=N[N](C2=C1C(=C(C(=N2)C)C(OCC)=O)NCCCC)CC
cinuperone,True,C3=C(N2CCN(CCCC(C1=CC=C(F)C=C1)=O)CC2)N=CC4=CC=CC=C34
guanoxyfen,True,NC(=N)NCCCOc1ccccc1
cericlamine,True,[H+].C1=C(CC(N(C)C)(CO)C)C=CC(=C1Cl)Cl.[Cl-]
etizolam,True,C1=C(SC2=C1C(=NCC3=NN=C([N]23)C)C4=CC=CC=C4Cl)CC
fenharmane,True,C4=C3[NH]C1=C(CCNC1CC2=CC=CC=C2)C3=CC=C4
ICI199441,True,c1(ccccc1)[C@H](CN1CCCC1)N(C(=O)Cc1ccc(c(c1)Cl)Cl)C
diprenorphine,True,[C@]235[C@@]67[C@H](N(CC1CC1)CC2)CC4=C3C(=C(C=C4)O)O[C@H]5[C@](OC)([C@H](C6)C(C)(C)O)CC7
mequitazine,True,C1=CC=CC2=C1SC5=C(N2CC3C4CCN(C3)CC4)C=CC=C5
roflurane,True,COC(C(F)Br)(F)F
ampyzine,True,CN(C)c1cnccn1
aminoglutethimide,True,C1=CC(=CC=C1C2(C(NC(=O)CC2)=O)CC)N
zometapine,True,C3=C(C1=NCCN=C2N(NC(=C12)C)C)C=CC=C3Cl
compound 36,True,CN(C)Cc1ccc(CSCCNC2=C([N+]([O-])=O)C(Cc3ccccc3)=CN2)o1
naranol,True,C1=C4C(=C2C(=C1)C=CC=C2)CC3CN(C)CC(C3(O4)O)C
guanethidinesulfate,False,NC(N)=NCCN1CCCCCCC1
levodopa,True,[C@H](CC1=CC(=C(C=C1)O)O)(C(O)=O)N
bremazocine,True,[C@@]23(C([C@H](N(CC1(CC1)O)CC2)CC4=C3C=C(C=C4)O)(C)C)CC
dimethadione,True,CC1(C(NC(O1)=O)=O)C
Flucytosine,True,NC1=C(F)C=NC(=O)N1
xantocillin,False,Oc1ccc(cc1)/C=C([N+]#[C-])/C(=C/c2ccc(O)cc2)[N+]#[C-]
rasagiline,True,[C@@H]1(C2=C(CC1)C=CC=C2)NCC#C
prednisolone,False,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO
valinomycin,False,CC(C)[C@@H]1NC(=O)[C@H](C)OC(=O)C(NC(=O)[C@H](OC(=O)[C@@H](NC(=O)[C@H](C)OC(=O)[C@H](NC(=O)[C@H](OC(=O)[C@@H](NC(=O)[C@H](C)OC(=O)[C@H](NC(=O)[C@H](OC1=O)C(C)C)C(C)C)C(C)C)C(C)C)C(C)C)C(C)C)C(C)C)C(C)C
compound 37,True,CN(C)Cc1ccc(c2cccc(NC3C([N+]([O-])=O)=CC=N3)c2)o1
isopropicillin,False,CC1(C)S[C@@H]2[C@H](NC(=O)C(C)(C)Oc3ccccc3)C(=O)N2[C@H]1C(O)=O
apalcillin,False,CC1(C)S[C@@H]2C(NC(=O)[C@H](NC(=O)C3=CNc4cccnc4C3=O)c5ccccc5)C(=O)N2[C@H]1C(O)=O
cyamemazine,True,C1=C(C#N)C=CC3=C1N(C2=C(C=CC=C2)S3)CC(CN(C)C)C
SB204457,True,c12c3c(C(NC(C)=O)CCc2cc(c(c1OC)OC)OC)cc(=O)c(cc3)OC
vitamine(alpha-tocopherol),True,[C@]2(OC1=C(C(=C(C(=C1CC2)C)O)C)C)(CCC[C@@H](CCC[C@@H](CCCC(C)C)C)C)C
ICI197067,True,CC(C)[C@@H](CN1CCCC1)N(C)C(=O)Cc2ccc(Cl)c(Cl)c2
fenoterol,False,CC(Cc1ccc(O)cc1)NCC(O)c2cc(O)cc(O)c2
pentylenetetrazole(pentetrazol),True,C2C1=NN=N[N]1CCCC2
promethazine,True,C1=CC=CC2=C1N(C3=C(S2)C=CC=C3)CC(C)N(C)C
MPTP,True,CN1CCC(=CC1)c2ccccc2
atromepine,True,C1=CC=CC=C1C(C(OC2CC3N(C)C(C2)CC3)=O)(CO)C
suriclone,True,C4=C(N2C(C1=C(SCCS1)C2=O)OC(N3CCN(C)CC3)=O)N=C5C(=C4)C=CC(=N5)Cl
mebanazine,True,C1=CC=CC=C1C(NN)C
Dyclonine,False,[Cl].CCCCOc1ccc(cc1)C(=O)CCN2CCCCC2
ketorfanol,True,[C@]235[C@H]([C@H](N(CC1CC1)CC2)CC4=C3C(=CC=C4)O)CCC(C5)=O
15,True,O=N([O-])C1=C(CN=C1NCCSCc2ncccc2)Cc3ccccc3
Miconazole,False,Clc1ccc(COC(Cn2ccnc2)c3ccc(Cl)cc3Cl)c(Cl)c1
rivastigmine,True,[C@H](C1=CC(=CC=C1)OC(N(CC)C)=O)(N(C)C)C
loreclezole,True,C1=CC(=CC(=C1\C(=C\[N]2C=NC=N2)Cl)Cl)Cl
rifapentine,False,CO[C@H]1\C=C\O[C@@]2(C)Oc3c(C)c(O)c4C(=C(NC(=O)C(=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)\C)C(=C/NN5CCN(CC5)C6CCCC6)\C(=O)c4c3C2=O)O
eterobarb,True,C2=C(C1(C(N(C(=O)N(C1=O)COC)COC)=O)CC)C=CC=C2
fluazacort,True,[C@@]34(F)C(C2C(C1(N=C(OC1C2)C)C(=O)COC(=O)C)(CC3O)C)CCC5=CC(=O)C=CC45C
procymate,True,C(C(C1CCCCC1)OC(N)=O)C
pagoclone,True,C4=C3C(N(C1=CC=C2C(=N1)N=C(Cl)C=C2)C(=O)C3=CC=C4)CC(CCC(C)C)=O
loracarbef,False,O.N[C@@H](C(=O)NC1C2CCC(=C(N2C1=O)C(O)=O)Cl)c3ccccc3
ketobemidone,True,C1=C(C=CC=C1C2(CCN(C)CC2)C(CC)=O)O
maroxepin,True,C1=CC=CC3=C1C4=C(C2=C(C=CC=C2)O3)CCN(CC4)C
viloxazine,True,C1=CC=CC(=C1OCC2CNCCO2)OCC
triamcinolone-furetonide,True,[C@@]45([C@@]3([C@H]([C@H]2[C@]([C@@]1(C(=CC(=O)C=C1)CC2)C)(F)[C@H](C3)O)C[C@H]4OC(O5)(C)C)C)C(COC(C6=CC7=C(O6)C=CC=C7)=O)=O
oxymorphone,True,CN1CC[C@]23[C@H]4Oc5c(O)ccc(C[C@@H]1[C@]2(O)CCC4=O)c35
tolboxane,True,C1=CC(=CC=C1B2OCC(CCC)(C)CO2)C
sulopenem,False,C[C@@H](O)[C@@H]1[C@H]2SC(=C(N2C1=O)C(O)=O)SC3CC[S](=O)C3
verapamil,False,COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC
Urea,True,NC(N)=O
Triazolam,True,Cc1nnc2CN=C(c3ccccc3Cl)c4cc(Cl)ccc4n12
cinperene,True,C1=CC=CC=C1C4(C3CCN(C\C=C\C2=CC=CC=C2)CC3)C(NC(=O)CC4)=O
difencloxazine,True,Clc1ccc(cc1)C(OCCN2CCOCC2)c3ccccc3
flumoxonide,True,[C@]12(OC(O[C@@H]1CC3C2(CC(O)[C@@]4(F)C3C[C@H](F)C5=CC(=O)C=CC45C)C)(C)C)C(=O)C(OC)OC
9-C7,True,c1(c(cc2n(ncc2c1)CCN)Cl)Cl
Ephedrine,False,CN[C@@H](C)[C@H](O)c1ccccc1
trifluomeprazine,True,C1=CC=C2C(=C1)SC3=C(N2CC(C)CN(C)C)C=C(C=C3)C(F)(F)F
hydrocortisone-hemisuccinate,True,[C@@]4(OC(=O)CCCC)(C3(C(C2C(C1(C(=CC(=O)CC1)CC2)C)C(O)C3)CC4)C)C(=O)CO
paroxetine,True,[C@@H]3([C@H](COC1=CC=C2C(=C1)OCO2)CNCC3)C4=CC=C(C=C4)F
epicillin,False,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)C3=CCC=CC3)C(=O)N2[C@H]1C(O)=O
acetorphan/racecadotril/ecadotril,True,C2=C(CC(C(NCC(OCC1=CC=CC=C1)=O)=O)CSC(C)=O)C=CC=C2
Icotidine,False,[Cl-].[Cl-].[Cl-].COc1cccnc1CCCCNC2=NC=C(Cc3ccc(C)nc3)C(=O)N2.[H+].[H+].[H+]
gramicidin-s-2,False,CC(C)CC1C(=O)NC(C(=O)N2CCCC2C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N3CCCC3C(=O)NC(C(=O)NC(C(=O)N1)CCCN)C(C)C)CC4=CC=CC=C4)CC(C)C)CCCN)C(C)C)CC5=CC=CC=C5
butoctamide,True,C(C(CCCC)CC)NC(CC(C)O)=O
zidovudine,False,CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O
clocortolone-acetate,True,[C@H]2(C1=CC(C=C[C@@]1(C4([C@@H](C2)[C@@H]3C[C@H]([C@H](C(COC(=O)C)=O)[C@@]3(C)C[C@@H]4O)C)Cl)C)=O)F
rifampin,False,CC1C=CC=C(C(=O)NC2=C(C3=C(C(=C4C(=C3C(=O)C2=CNN5CCN(CC5)C)C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C
citalopram,True,C1=CC(=CC3=C1C(C2=CC=C(F)C=C2)(OC3)CCCN(C)C)C#N
cefoxitin,True,CO[C@]1(NC(=O)Cc2sccc2)[C@H]3SCC(=C(N3C1=O)C(O)=O)COC(N)=O
8-5,False,CN(C)Cc1oc(cc1)CSCCNC=1NC=C(CN1)Cc1cnc(cc1)C
anisopirol,True,C3=C(N2CCN(CCCC(C1=CC=C(F)C=C1)O)CC2)C(=CC=C3)OC
paraxazone,True,C1=CC=CC2=C1N(C(CO2)=O)CC(N)=O
bupropion,True,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1
phenobarbital,True,CCC1(C(=O)NC(=O)NC1=O)c2ccccc2
lincomycin,False,CCCC1CC(N(C)C1)C(=O)NC(C(C)O)C2OC(SC)C(O)C(O)C2O
penthrichloral,True,C(C1(COC(C(Cl)(Cl)Cl)OC1)CO)O
SB205605,False,c1(ccc(c(c1)Cl)Cl)CC(N1[C@H](C[N@@]2C[C@@H](CC2)O)c2c(CC1)[nH]cn2)=O
emetine,False,[Cl].CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]4NCCc5cc(OC)c(OC)cc45
ICI17148,True,Cc1nc(sc1)\[NH]=C(\N)N
Org12692,True,FC(F)(F)c1c(Cl)nc(N2CCNCC2)cc1
warfarin,False,CC(=O)CC(c1ccccc1)C2=C(O)Oc3ccccc3C2=O
Methylprednisolone,False,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]4(C)C=CC(=O)C=C14
